ns,probs
1,1.0
2,0.5
3,0.4444444444444444
4,0.421875
5,0.4096
6,0.4018775720164609
7,0.39656945660396603
8,0.39269590377807617
9,0.38974434312894585
10,0.387420489
11,0.38554328942953175
12,0.3839952305608768
13,0.3826967066770906
14,0.3815918725444634
15,0.3806403926722973
16,0.37981240581524567
17,0.3790853319179361
18,0.37844178013552615
19,0.3778681389925449
20,0.3773536025353076
21,0.3768894828730007
22,0.3764687154334921
23,0.37608549671560276
24,0.37573501490663197
25,0.37541324672710236
26,0.3751168022539642
27,0.3748428050028718
28,0.3745887982633918
29,0.3743526712176019
30,0.37413260013270055
31,0.3739270011573595
32,0.3737344921355526
33,0.3735538614900617
34,0.3733840426943214
35,0.37322409319569144
36,0.37307317691013153
37,0.372930549601623
38,0.37279554660653674
39,0.3726675724755776
40,0.37254609219269813
41,0.3724306236978051
42,0.3723207314928614
43,0.3722160211525604
44,0.37211613459370735
45,0.37202074598371687
46,0.3719295581897092
47,0.3718422996866633
48,0.3717587218568528
49,0.3716785966239821
